iter	Passed	Remaining
552	20914	99201
553	20950	99157
554	20987	99112
555	21023	99069
556	21058	99016
557	21094	98969
558	21131	98928
559	21171	98901
560	21209	98864
561	21248	98831
562	21288	98803
563	21334	98802
564	21369	98754
565	21405	98708
566	21448	98694
567	21486	98654
568	21520	98600
569	21559	98570
570	21595	98523
571	21633	98486
572	21684	98507
573	21713	98429
574	21751	98390
575	21787	98345
576	21826	98315
577	21877	98333
578	21918	98311
579	21972	98346
580	22015	98330
581	22058	98314
582	22096	98278
583	22139	98261
584	22173	98207
585	22210	98167
586	22250	98135
587	22293	98119
588	22338	98114
589	22381	98099
590	22425	98088
591	22466	98063
592	22503	98019
593	22538	97970
594	22581	97952
595	22618	97912
596	22657	97880
597	22700	97862
598	22740	97835
599	22778	97793
600	22826	97800
601	22865	97769
602	22901	97722
603	22939	97683
604	22983	97671
605	23020	97629
606	23059	97592
607	23098	97558
608	23135	97517
609	23169	97462
610	23207	97425
611	23245	97386
612	23282	97346
613	23321	97310
614	23360	97277
615	23395	97228
616	23432	97186
617	23478	97181
618	23522	97168
619	23559	97127
620	23603	97112
621	23639	97067
622	23688	97072
623	23726	97036
624	23760	96978
625	23797	96936
626	23838	96910
627	23871	96855
628	23924	96877
629	23963	96844
630	24001	96805
631	24039	96766
632	24075	96719
633	24112	96677
634	24142	96607
635	24178	96563
636	24210	96500
637	24243	96440
638	24278	96393
639	24315	96351
640	24356	96323
641	24392	96278
642	24430	96241
643	24469	96205
644	24508	96173
645	24541	96114
646	24578	96072
647	24619	96047
648	24659	96018
649	24694	95967
650	24731	95926
651	24765	95869
652	24801	95827
653	24846	95816
654	24887	95787
655	24926	95755
656	24966	95724
657	24997	95659
658	25024	95579
659	25061	95536
660	25096	95489
661	25137	95461
662	25175	95425
663	25220	95414
664	25269	95416
665	25304	95368
666	25345	95338
667	25386	95315
668	25439	95332
669	25480	95303
670	25521	95279
671	25563	95255
672	25601	95216
673	25641	95184
674	25677	95140
675	25720	95120
676	25757	95076
677	25796	95045
678	25834	95003
679	25848	94880
680	25892	94861
681	25929	94822
682	25968	94785
683	26009	94760
684	26051	94734
685	26094	94714
686	26129	94668
687	26173	94651
688	26208	94601
689	26245	94560
690	26278	94502
691	26312	94452
692	26347	94401
693	26381	94349
694	26416	94301
695	26459	94279
696	26497	94242
697	26535	94206
698	26572	94163
699	26610	94123
700	26643	94069
701	26676	94013
702	26737	94055
703	26771	94004
704	26809	93965
705	26846	93923
706	26882	93878
707	26920	93840
708	26952	93782
709	26987	93734
710	27030	93711
711	27075	93698
712	27114	93665
713	27152	93628
714	27192	93596
715	27231	93560
716	27269	93522
717	27306	93480
718	27343	93439
719	27386	93417
720	27422	93373
721	27465	93352
722	27502	93309
723	27539	93268
724	27569	93205
725	27601	93145
726	27640	93110
727	27676	93065
728	27732	93089
729	27761	93019
730	27800	92983
731	27840	92954
732	27882	92927
733	27926	92910
734	27967	92882
735	28006	92847
736	28043	92806
737	28086	92783
738	28124	92744
739	28171	92736
740	28218	92728
741	28256	92690
742	28292	92647
743	28331	92609
744	28365	92558
745	28407	92533
746	28443	92488
747	28482	92453
748	28532	92455
749	28569	92413
750	28602	92358
751	28639	92315
752	28678	92281
753	28716	92243
754	28758	92216
755	28802	92198
756	28837	92151
757	28871	92099
758	28921	92100
759	28957	92054
760	28994	92012
761	29034	91979
762	29069	91933
763	29107	91893
764	29146	91857
765	29191	91841
766	29224	91788
767	29259	91739
768	29296	91699
769	29345	91693
770	29380	91646
771	29416	91602
772	29455	91567
773	29495	91533
774	29531	91491
775	29579	91483
776	29614	91435
777	29659	91419
778	29698	91383
779	29734	91339
780	29771	91296
781	29811	91264
782	29847	91220
783	29884	91176
784	29920	91134
785	29956	91088
786	29999	91064
787	30034	91018
788	30072	90979
789	30108	90935
790	30142	90883
791	30176	90834
792	30227	90833
793	30264	90794
794	30305	90762
795	30357	90768
796	30392	90720
797	30430	90680
798	30465	90635
799	30511	90617
800	30545	90567
801	30582	90526
802	30609	90456
803	30646	90413
804	30682	90371
805	30719	90329
806	30767	90321
807	30807	90286
808	30843	90243
809	30881	90203
810	30921	90172
811	30951	90110
812	30993	90084
813	31029	90039
814	31065	89995
815	31100	89947
816	31133	89894
817	31179	89880
818	31217	89842
819	31255	89803
820	31294	89767
821	31332	89729
822	31372	89694
823	31403	89638
824	31444	89608
825	31481	89566
826	31535	89573
827	31574	89537
828	31613	89502
829	31647	89452
830	31684	89411
831	31722	89372
832	31760	89333
833	31797	89292
834	31837	89259
835	31875	89219
836	31909	89171
837	31949	89139
838	31987	89099
839	32024	89058
840	32059	89010
841	32101	88983
842	32157	88995
843	32196	88958
844	32235	88923
845	32274	88888
846	32311	88845
847	32351	88812
848	32387	88768
849	32430	88746
850	32474	88721
851	32514	88688
852	32548	88641
853	32585	88598
854	32628	88575
855	32662	88524
856	32698	88481
857	32769	88531
858	32809	88499
859	32852	88471
860	32890	88434
861	32933	88408
862	32967	88359
863	33007	88325
864	33043	88282
865	33081	88243
866	33131	88235
867	33170	88200
868	33209	88163
869	33245	88119
870	33282	88077
871	33320	88039
872	33359	88002
873	33397	87965
874	33433	87920
875	33469	87877
876	33504	87829
877	33542	87790
878	33578	87748
879	33617	87711
880	33657	87677
881	33698	87647
882	33737	87611
883	33773	87567
884	33813	87534
885	33857	87509
886	33899	87481
887	33938	87445
888	33971	87392
889	34010	87356
890	34051	87325
891	34080	87263
892	34115	87217
893	34154	87182
894	34195	87151
895	34232	87108
896	34271	87074
