index_original,y_test_log,y_pred_log,y_test_euro,y_pred_euro,error_euro,error_percent
2770,5.631211781821365,4.386535905865475,277.99999999999994,79.36155626029924,-198.6384437397007,-71.4526776042089
1146,5.703782474656201,4.15754791349984,298.99999999999994,62.914606149304426,-236.0853938506955,-78.95832570257376
4794,3.349904087274605,4.067512388688714,27.5,57.4114766606431,29.911476660643103,108.76900603870219
6664,4.499809670330265,5.123543669557195,89.0,166.92940278325327,77.92940278325327,87.56112672275648
251,3.827553848801696,3.96827995648562,44.949999999999996,51.89347347480766,6.943473474807661,15.447104504577666
2580,2.3978952727983707,4.294827904142386,10.000000000000002,72.31959536056559,62.319595360565586,623.1959536056557
6827,3.0440461338325417,5.0949652374581245,19.990000000000002,162.19817134251397,142.20817134251396,711.3965549900648
856,5.993886611540359,5.332586146925255,399.97,205.97254402860372,-193.9974559713963,-48.503001717977924
5548,3.2577118486533987,4.271299940501084,24.989999999999995,70.61466994650831,45.62466994650832,182.57170846942108
6780,4.356708826689592,5.040292459220931,77.0,153.51519781288175,76.51519781288175,99.3703867699763
7594,6.855398261146611,5.905322335456217,947.9899999999998,365.98549916288925,-582.0045008371105,-61.39352744618727
5839,7.576092215033348,7.884563337243829,1949.989999999999,2654.965011806229,704.97501180623,36.15275010673031
4019,2.0135687975291283,2.8240642579252886,6.490000000000001,15.845174869977448,9.355174869977446,144.1475326652919
4395,4.139795825126018,4.098963617385683,61.78999999999997,59.277784366578565,-2.5122156334214054,-4.06573172588025
7152,7.170880792087884,6.124358413136118,1299.9899999999993,455.8515092939497,-844.1384907060497,-64.93422954838499
7278,6.3647335449998295,4.82848785960127,579.99,124.02176718239205,-455.96823281760794,-78.61656801282918
6224,3.7123518102990793,4.812017206351364,39.95000000000004,121.97944238855065,82.02944238855062,205.3302688073856
518,4.605070180987758,3.896491036644287,98.98999999999997,48.229401508333744,-50.76059849166622,-51.27851145738583
1407,6.0209990772103,5.0528676000290895,410.98999999999995,155.47051662021826,-255.5194833797817,-62.17170329686409
2031,6.175846479868856,4.903940241061155,479.99,133.81995761743354,-346.17004238256646,-72.12026133514583
1374,3.6238074573702215,3.150714863802786,36.480000000000004,22.35275265294974,-14.127247347050265,-38.72600698204568
132,3.4339872044851463,3.314860329824097,30.0,26.51855019539695,-3.4814498046030486,-11.604832682010162
3939,2.771963526845863,3.113360019302883,14.99,21.496506248360646,6.506506248360646,43.405645419350535
982,3.509453700432007,4.192180198495675,32.43,65.16689077596388,32.73689077596388,100.94631753303693
7414,7.989560449333865,6.881584283489969,2948.999999999999,973.1684969442688,-1975.8315030557303,-67.00005096831913
3347,5.252221070655064,5.1157513280834,189.9900000000001,165.6259247020877,-24.364075297912393,-12.82387246587314
1002,3.0440461338325417,4.340234960293966,19.990000000000002,75.725564681825,55.735564681825004,278.81723202513757
7508,6.214608098422191,5.7176287415766875,498.99999999999983,303.18277113271586,-195.81722886728397,-39.24192963272225
5840,6.111445166307853,5.426856616591768,449.98999999999995,226.43321084652905,-223.5567891534709,-49.68039048722659
3785,4.616505695651837,3.815043626029123,100.13999999999997,44.37873603382456,-55.76126396617541,-55.68330733590516
5775,6.866933284461882,6.193477182161758,959.0000000000001,488.5453886377781,-470.454611362222,-49.05678950596683
2149,4.3819016268607305,4.431907529923402,78.99,83.09167139605943,4.10167139605943,5.192646405949399
95,4.709440107163888,3.311673996118749,109.99000000000001,26.431006457236112,-83.5589935427639,-75.96962773230648
465,3.9292733588346738,4.865347583679417,49.870000000000005,128.716017947732,78.84601794773201,158.10310396577503
4656,3.988798844230196,4.662681471987993,52.99000000000002,104.91972246870489,51.92972246870487,97.99909882752377
3685,5.270740598777802,4.661345558024133,193.56000000000006,104.77831730600663,-88.78168269399343,-45.86778399152377
