product_rating,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,badge_amazons,badge_best_seller,badge_ends_in,badge_limited_time_deal,badge_no_badge,badge_save_xpct,log_purchased_last_month,log_original_price,log_total_reviews,"cat_Audio, Sound & Recording Gear",cat_Cameras & Photography,"cat_Chargers, Adapters & Cables",cat_Computer Peripherals,cat_Laptops,cat_Mobile Cell Phones & Smartphones,cat_Networking,"cat_Office Supplies, Ink & Toner",cat_Other Electronics,cat_PC Components,cat_Power & Batteries,cat_Printers & Scanners (Hardware),cat_Small Gadget Accessories (Cases & Protectors),cat_Smart Home & Security,cat_Storage & Memory Cards,cat_TV & Video Displays,cat_Tablets & E-readers (DEVICES ONLY),cat_Video Game Consoles & Virtual Reality,cat_Wearables
4.5,0,0,0,0,0.0,0,1,0,0,0,0,9.105090961257083,6.186311499267078,8.106816038947052,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.6,0,1,0,0,0.0,0,0,0,0,1,0,9.210440366976515,5.04915063032459,8.756367559802975,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.7,0,0,1,0,0.0,0,0,0,0,1,0,9.210440366976515,4.157162854614252,10.875364351649829,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.1,0,1,0,0,0.25,0,0,0,0,1,0,9.210440366976515,5.442374419541463,8.247743887225516,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.8,0,1,0,0,0.47,0,0,0,0,1,0,10.308985993422082,3.5052570515869337,9.672122799562842,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.8,0,1,0,0,0.29,0,0,0,0,1,0,9.210440366976515,3.58324112209094,11.748692997469808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4.6,0,1,1,0,0.43,0,0,0,0,1,0,9.210440366976515,5.855071922202427,11.013649552432474,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.7,0,1,0,0,0.0,0,1,0,0,0,0,9.210440366976515,4.119037174812473,8.22282213081366,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.8,0,1,0,0,0.34,0,1,0,0,0,0,9.210440366976515,4.204543354520176,8.832587702434553,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.8,0,1,0,0,0.27,0,1,0,0,0,0,10.59665973278358,1.922787731634459,8.262558973010657,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.2,0,1,1,0,0.21,0,1,0,0,0,0,8.853808274977197,5.484755438853831,9.536473630802217,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.6,0,0,0,0,0.0,1,0,0,0,0,0,9.210440366976515,4.464642950851115,9.481359383531425,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,1,0,0,0.1,0,1,0,0,0,0,10.819798284210286,1.986503546020567,10.870623478415853,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.6,0,0,0,0,0.0,0,0,0,0,1,0,10.819798284210286,2.0681277817795625,10.413702990176423,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
