product_title,product_rating,log_total_reviews,log_purchased_last_month,is_sponsored,buy_box_availability,has_coupon,discount_percentage,product_category,brand_cat,is_high_end,spec_ram_gb,spec_storage_gb,spec_screen_inch,spec_power_w,spec_pack_count,spec_resolution_cat,spec_refresh_rate_hz,spec_ram_speed_mhz,log_original_price,is_best_seller,lsa_0,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14
"Alienware X16 R2 Gaming Laptop - 16-inch QHD+ 240Hz 3ms Display, Intel Core Ultra 7-155H, 16GB LPDDR5X RAM, 1TB SSD, NVIDIA GeForce RTX 4070 8GB GDDR6, Windows 11 Home, Onsite Service - Lunar Silver",3.9,3.7612001156935615,0.0,Sponsored,1,0,0.25,Laptops,OTHER,1,16.0,1024.0,16.0,,,2K_QHD,240.0,,7.783636431281301,No Badge,0.10766865048825949,-0.1837372924111476,0.34599516441440215,0.046531908589816706,-0.03370033697700903,0.013617886948459036,-0.08827344067293671,0.0032088293516638355,-0.004425373796079777,0.03433545463414379,-0.00375276072924014,-0.02159898531300311,0.017983200760972203,0.025326256266172756,-0.038415493227430965
"Lenovo IdeaPad Laptop Computer 2025, 15.6"" FHD Touchscreen, 10-Core Intel i5, Intel Iris Xe Graphics, 40GB RAM, 1.5TB Storage (1TB SSD + 500GB Ext), MarxsolAccessory, Win 11 Pro, Lifetime Office 2024",4.9,2.4849066497880004,3.9318256327243257,Organic,1,1,0.0,Laptops,LENOVO,1,40.0,5120.0,15.6,,,FHD_1080p,,,6.606650186198215,No Badge,0.1065057246227024,-0.1562448743979457,0.30125313394656045,0.018378570087577095,-0.042860826014223266,0.014223715732636,-0.09012178457245616,0.013717258694842336,0.007199447268692117,0.03202832896417276,0.03130875957492404,-0.017550398743667532,0.06462459259387277,0.01446802578784766,-0.08752640779008698
"Apple 2022 iPad Air (10.9-inch) Wi-Fi, 256GB - Purple (Renewed)",4.3,4.836281906951478,3.9318256327243257,Organic,0,0,0.22,Tablets & E-readers (DEVICES ONLY),APPLE,0,,,10.9,,,,,,6.142897250868192,No Badge,0.056820900769250636,-0.09643576569256383,0.014815829029884335,-0.04715422103144507,-0.03934553694636946,-0.03106491750638193,-0.02964001004681137,0.01271009023509854,0.0039966469099199185,-0.04845262964111295,-0.01652521046677537,0.006072730413688995,0.017856694249889726,-0.026804822854548386,-0.10635084828646174
"Brother MFCL2750DW Monochrome All-in-One Wireless Laser Printer, Duplex Copy & Scan, Includes 4 Month Refresh Subscription Trial and Amazon Dash Replenishment Ready",4.4,8.393442383980062,3.9318256327243257,Organic,1,0,0.07,Printers & Scanners (Hardware),BROTHER,0,,,,,,,,,6.413458957167357,No Badge,0.06648957890996958,-0.02223797506389043,-0.04716156840652046,0.07593392930520325,0.02327147325832788,-0.019333947881802933,0.0123082783953362,-0.03101213937353702,0.03925969797968575,0.003723194956925512,0.10685738159083948,0.05899611679601982,0.057931354136652215,0.18508532526279214,-0.01664718013003811
"HP Laptop X360 14a Chromebook 14"" HD Touchscreen, Entertaining from Any Angle Intel Celeron, 4GB DDR4 64GB eMMC WiFi Webcam Stereo Speakers Bluetooth 4.2 Chrome Blue Metallic Color",4.4,7.2305631534092925,4.61512051684126,Organic,1,0,0.0,Laptops,HP,0,4.0,64.0,14.0,,,HD_Basic,,,5.598421958998375,No Badge,0.13889456877437556,-0.07933024463101804,0.13843040643212395,0.01406034211220755,0.04069497071104932,0.004848248715361188,-0.04104051650829222,0.03733198464282934,-0.03309473630896866,-0.006853257687105397,0.05964911172001604,-0.06399383472859864,0.040434143087445425,0.02098408464616077,-0.0579663453851259
"MSI Creator M14 14” 2.8K Display Creator Laptop: Intel Core i7-13620H, NVIDIA Geforce RTX 4050, 16GB DDR5, 1TB NVMe SSD, Cooler Boost, Win 11: Black A13VE-083US",4.2,4.844187086458591,0.0,Sponsored,1,0,0.0,Laptops,MSI,0,16.0,1024.0,14.0,,,8K_5K_Ultra,,,7.090901495650648,No Badge,0.09623888382207803,-0.1523812614393584,0.2766011355962043,0.03275423363038945,-0.042724961355725406,0.003902271511671586,-0.07619224360078265,0.009810799029956295,0.022070908285660315,0.043990112625287084,-0.018022263499131795,-0.012668635759533736,0.02234539368750659,-0.0017011457035273176,0.011998065761817047
"Targus - Numeric Keypad with USB Connection - Plug and Play Device - Connect with Laptop, Desktop and Electronic USB-A Devices - AKP1OUS",4.2,5.739792912179234,3.9318256327243257,Sponsored,1,0,0.43,Computer Peripherals,OTHER,0,,,,,,,,,3.58324112209094,No Badge,0.055160870675507394,-0.09721238369636961,0.0252355183870815,-0.020391589227804346,-0.01661554870025797,-0.005538268008846804,0.047669072146475915,-0.06947813451857743,0.02335954954192857,-0.009770756603928826,0.015454103445349119,-0.014228646467319543,0.0024947196975784063,0.04098963530521855,0.024586532203318478
"KODAK 10.1 Inch WiFi Digital Picture Frame,1280x800 HD IPS Touch Screen, Electronic Smart Photo Frame with 32 GB Memory, Auto-Rotate, Instantly Share Photos/Videos from Anywhere",4.1,5.594711379601839,4.61512051684126,Sponsored,1,0,0.0,Cameras & Photography,KODAK,0,,,,,,,,,3.849934813114724,No Badge,0.051079578465052414,-0.07673371726897707,0.03800229779363892,0.02997558543783362,0.012863192343761825,0.010985967370864753,0.0661029121877534,0.08885985631736855,-0.05324575707817932,-0.039148064788071354,0.01752020886359855,-0.01203183505064218,-0.023025965204293022,0.00067614481224526,-0.034471640728470226
LISEN for iPhone 16 Car Charger Fast Charging [80W+18W GaN] [Mini Metal] USBC Car Charger iPhone [PD80W QC 3.0] USB C Car Charger for iPhone 16 Pro Max MacBook Air iPad2024 Samsung Galaxy S24 S23,4.4,4.624972813284271,3.9318256327243257,Sponsored,1,0,0.0,"Chargers, Adapters & Cables",LISEN,1,,,,80.0,,,,,2.884241897520628,No Badge,0.1322101478414121,-0.21893467447025278,-0.19825800480588535,-0.31188032864123616,-0.27217566059785847,-0.06838323888497545,-0.20230626390415019,-0.0010692439423966422,-0.013693781930163497,-0.054657139079562794,0.0048746618543472715,-0.0213999057329687,-0.00784278106500436,0.017264058330105254,-0.0017025577279620703
"LISEN 90W USB C Car Charger Fast Charging, Dual Fast Charging Port PD 45W Cigarette Lighter Adapter, for 17 Super Fast Car Charger USB C with 2 Cables for iPhone 16 15 14 13 12 Pro Max",4.5,7.292337176173877,6.90875477931522,Sponsored,1,1,0.42,"Chargers, Adapters & Cables",LISEN,1,,,,90.0,,,,,3.218475744846861,No Badge,0.13015331849539988,-0.2129920930510135,-0.17884154051740722,-0.2846024000103417,-0.25706150039193604,-0.05102988741892231,-0.1432628352395729,-0.04179273012102822,-0.0025369843227865995,-0.05297453926999625,0.016292967935794416,-0.03674213365317495,-0.01844823506013621,0.06004083969455354,0.015147198398588363
